areaCode,areaName,areaType,date,VaccineRegisterPopulationByVaccinationDate
E06000042,Milton Keynes,utla,2021-04-02,237971
E06000042,Milton Keynes,utla,2021-04-01,237971
E06000042,Milton Keynes,utla,2021-03-31,237971
E06000042,Milton Keynes,utla,2021-03-30,237971
E06000042,Milton Keynes,utla,2021-03-29,237971
E06000042,Milton Keynes,utla,2021-03-28,237971
E06000042,Milton Keynes,utla,2021-03-27,237971
E06000042,Milton Keynes,utla,2021-03-26,237971
E06000042,Milton Keynes,utla,2021-03-25,237971
E06000042,Milton Keynes,utla,2021-03-24,237971
E06000042,Milton Keynes,utla,2021-03-23,237971
E06000042,Milton Keynes,utla,2021-03-22,237971
E06000042,Milton Keynes,utla,2021-03-21,237971
E06000042,Milton Keynes,utla,2021-03-20,237971
E06000042,Milton Keynes,utla,2021-03-19,237971
E06000042,Milton Keynes,utla,2021-03-18,237971
E06000042,Milton Keynes,utla,2021-03-17,237971
E06000042,Milton Keynes,utla,2021-03-16,237971
E06000042,Milton Keynes,utla,2021-03-15,237971
E06000042,Milton Keynes,utla,2021-03-14,237971
E06000042,Milton Keynes,utla,2021-03-13,237971
E06000042,Milton Keynes,utla,2021-03-12,237971
E06000042,Milton Keynes,utla,2021-03-11,237971
E06000042,Milton Keynes,utla,2021-03-10,237971
E06000042,Milton Keynes,utla,2021-03-09,237971
E06000042,Milton Keynes,utla,2021-03-08,237971
E06000042,Milton Keynes,utla,2021-03-07,237971
E06000042,Milton Keynes,utla,2021-03-06,237971
E06000042,Milton Keynes,utla,2021-03-05,237971
E06000042,Milton Keynes,utla,2021-03-04,237971
E06000042,Milton Keynes,utla,2021-03-03,237971
E06000042,Milton Keynes,utla,2021-03-02,237971
E06000042,Milton Keynes,utla,2021-03-01,237971
E06000042,Milton Keynes,utla,2021-02-28,237971
E06000042,Milton Keynes,utla,2021-02-27,237971
E06000042,Milton Keynes,utla,2021-02-26,237971
E06000042,Milton Keynes,utla,2021-02-25,237971
E06000042,Milton Keynes,utla,2021-02-24,237971
E06000042,Milton Keynes,utla,2021-02-23,237971
E06000042,Milton Keynes,utla,2021-02-22,237971
E06000042,Milton Keynes,utla,2021-02-21,237971
E06000042,Milton Keynes,utla,2021-02-20,237971
E06000042,Milton Keynes,utla,2021-02-19,237971
E06000042,Milton Keynes,utla,2021-02-18,237971
E06000042,Milton Keynes,utla,2021-02-17,237971
E06000042,Milton Keynes,utla,2021-02-16,237971
E06000042,Milton Keynes,utla,2021-02-15,237971
E06000042,Milton Keynes,utla,2021-02-14,237971
E06000042,Milton Keynes,utla,2021-02-13,237971
E06000042,Milton Keynes,utla,2021-02-12,237971
E06000042,Milton Keynes,utla,2021-02-11,237971
E06000042,Milton Keynes,utla,2021-02-10,237971
E06000042,Milton Keynes,utla,2021-02-09,237971
E06000042,Milton Keynes,utla,2021-02-08,237971
E06000042,Milton Keynes,utla,2021-02-07,237971
E06000042,Milton Keynes,utla,2021-02-06,237971
E06000042,Milton Keynes,utla,2021-02-05,237971
E06000042,Milton Keynes,utla,2021-02-04,237971
E06000042,Milton Keynes,utla,2021-02-03,237971
E06000042,Milton Keynes,utla,2021-02-02,237971
E06000042,Milton Keynes,utla,2021-02-01,237971
E06000042,Milton Keynes,utla,2021-01-31,237971
E06000042,Milton Keynes,utla,2021-01-30,237971
E06000042,Milton Keynes,utla,2021-01-29,237971
E06000042,Milton Keynes,utla,2021-01-28,237971
E06000042,Milton Keynes,utla,2021-01-27,237971
E06000042,Milton Keynes,utla,2021-01-26,237971
E06000042,Milton Keynes,utla,2021-01-25,237971
E06000042,Milton Keynes,utla,2021-01-24,237971
E06000042,Milton Keynes,utla,2021-01-23,237971
E06000042,Milton Keynes,utla,2021-01-22,237971
E06000042,Milton Keynes,utla,2021-01-21,237971
E06000042,Milton Keynes,utla,2021-01-20,237971
E06000042,Milton Keynes,utla,2021-01-19,237971
E06000042,Milton Keynes,utla,2021-01-18,237971
E06000042,Milton Keynes,utla,2021-01-17,237971
E06000042,Milton Keynes,utla,2021-01-16,237971
E06000042,Milton Keynes,utla,2021-01-15,237971
E06000042,Milton Keynes,utla,2021-01-14,237971
E06000042,Milton Keynes,utla,2021-01-13,237971
E06000042,Milton Keynes,utla,2021-01-12,237971
E06000042,Milton Keynes,utla,2021-01-11,237971
E06000042,Milton Keynes,utla,2021-01-10,237971
E06000042,Milton Keynes,utla,2021-01-09,237971
E06000042,Milton Keynes,utla,2021-01-08,237971
E06000042,Milton Keynes,utla,2021-01-07,237971
E06000042,Milton Keynes,utla,2021-01-06,237971
E06000042,Milton Keynes,utla,2021-01-05,237971
E06000042,Milton Keynes,utla,2021-01-04,237971
E06000042,Milton Keynes,utla,2021-01-03,237971
E06000042,Milton Keynes,utla,2021-01-02,237971
E06000042,Milton Keynes,utla,2021-01-01,237971
E06000042,Milton Keynes,utla,2020-12-31,237971
E06000042,Milton Keynes,utla,2020-12-30,237971
E06000042,Milton Keynes,utla,2020-12-29,237971
E06000042,Milton Keynes,utla,2020-12-28,237971
E06000042,Milton Keynes,utla,2020-12-27,237971
E06000042,Milton Keynes,utla,2020-12-26,237971
E06000042,Milton Keynes,utla,2020-12-25,237971
E06000042,Milton Keynes,utla,2020-12-24,237971
E06000042,Milton Keynes,utla,2020-12-23,237971
E06000042,Milton Keynes,utla,2020-12-22,237971
E06000042,Milton Keynes,utla,2020-12-21,237971
E06000042,Milton Keynes,utla,2020-12-20,237971
E06000042,Milton Keynes,utla,2020-12-19,237971
E06000042,Milton Keynes,utla,2020-12-18,237971
E06000042,Milton Keynes,utla,2020-12-17,237971
E06000042,Milton Keynes,utla,2020-12-16,237971
E06000042,Milton Keynes,utla,2020-12-15,237971
E06000042,Milton Keynes,utla,2020-12-14,237971
E06000042,Milton Keynes,utla,2020-12-13,237971
E06000042,Milton Keynes,utla,2020-12-12,237971
E06000042,Milton Keynes,utla,2020-12-11,237971
E06000042,Milton Keynes,utla,2020-12-10,237971
E06000042,Milton Keynes,utla,2020-12-09,237971
E06000042,Milton Keynes,utla,2020-12-08,237971
